ticker,fetch_date,dso_days,dso_yoy_change,inventory_days,inv_yoy_change,cfo_ni_ratio,sloan_accruals,beneish_m,dechow_f,altman_z,capex_da_ratio,sbc_pct_revenue,goodwill_pct_assets,sector_metrics_json
AAPL,2026-04-17,,,,,0.9953,,,,,,,,
CVNA,2026-04-17,,,,,0.7363,,,,,,,,
AHCO,2026-04-17,,,,,-0.535,,,,,,,,
CVS,2026-04-17,,,,,6.0175,,,,,,,,
HIMS,2026-04-17,,,,,1.0346,,,,,,,,
JNJ,2026-04-17,,,,,0.9152,,,,,,,,
DXCM,2026-04-17,,,,,0.075,,,,,,,,
TMDX,2026-04-17,,,,,0.0042,,,,,,,,
AGL,2026-06-14,,,,,0.27,,,,,,,0.0,"{""net_debt_ebitda"":0.319,""health"":""stressed""}"
ALHC,2026-06-14,,,,,-0.27,,,,,,,0.045,"{""net_debt_ebitda"":1.496,""health"":""stressed""}"
ARDT,2026-06-14,,,,,3.46,,,,,,,,"{""net_debt_ebitda"":0.88,""health"":""mixed""}"
CAH,2026-06-14,21.7,,28.7,2.7,1.54,,,,,,,0.229,"{""health"":""insufficient_data""}"
CLOV,2026-06-14,,,,,0.78,,,,,,,0.0,"{""health"":""insufficient_data""}"
CNC,2026-06-14,,,,,-0.76,,,,,,,,"{""net_debt_ebitda"":0.069,""health"":""stressed""}"
COR,2026-06-14,28.7,,24.2,-0.6,2.49,,,,,,,0.179,"{""net_debt_ebitda"":1.018,""health"":""insufficient_data""}"
CVS,2026-06-14,,,,,6.02,,,,,,,,"{""health"":""stressed""}"
CYH,2026-06-14,,,,,1.07,,,,,,,0.25,"{""net_debt_ebitda"":5.29,""health"":""mixed""}"
DVA,2026-06-14,,,,,2.53,,,,,,,,"{""health"":""mixed""}"
ELV,2026-06-14,,,,,0.76,,,,,,,,"{""health"":""mixed""}"
ENSG,2026-06-14,46.0,-2.6,,,1.64,,,,,,,0.018,"{""net_debt_ebitda"":-0.5,""health"":""strong""}"
EVH,2026-06-14,,,,,-0.07,,,,,,,0.366,"{""net_debt_ebitda"":-2.782,""health"":""stressed""}"
HCA,2026-06-14,,,,,1.86,,,,,,,,"{""net_debt_ebitda"":3.04,""health"":""insufficient_data""}"
HUM,2026-06-14,,,,,0.78,,,,,,,,"{""net_debt_ebitda"":2.401,""health"":""mixed""}"
MCK,2026-06-14,25.3,-0.8,22.7,-1.6,1.29,,,,,,,0.137,"{""health"":""insufficient_data""}"
MOH,2026-06-14,,,,,-1.13,,,,,,,,"{""net_debt_ebitda"":-0.494,""health"":""mixed""}"
OPCH,2026-06-14,30.6,1.7,,21.4,1.24,,,,,,,0.465,"{""net_debt_ebitda"":2.0,""health"":""moderate""}"
OSCR,2026-06-14,,,,,-2.47,,,,,,,0.0,"{""net_debt_ebitda"":6.379,""health"":""stressed""}"
PACS,2026-06-14,43.4,-2.1,,,2.11,,,,,,,0.012,"{""health"":""weak-governance""}"
SGRY,2026-06-14,66.4,2.4,13.9,9.3,,,,,,,,0.64,"{""net_debt_ebitda"":6.1,""health"":""levered-rollup""}"
THC,2026-06-14,,,,,1.50,,,,,,,,"{""health"":""stressed""}"
UHS,2026-06-14,,,,,1.25,,,,,,,,"{""net_debt_ebitda"":1.77,""health"":""insufficient_data""}"
UNH,2026-06-14,,,,,1.63,,,,,,,,"{""net_debt_ebitda"":2.056,""health"":""stressed""}"
USPH,2026-06-14,30.0,-2.0,,,1.90,,,,,,,0.575,"{""net_debt_ebitda"":1.0,""health"":""moderate""}"
ALGN,2026-06-14,,,,,1.45,,,,,,,,"{""health"":""healthy""}"
ATEC,2026-06-14,46.5,-6.0,266.3,-22.4,-0.32,,,,,,,0.095,"{""health"":""weak""}"
BAX,2026-06-14,,,,,-0.88,,,,,,,,"{""net_debt_ebitda"":-2.92,""health"":""stressed""}"
BDX,2026-06-14,50.0,,,1.3,2.04,,,,,,,0.481,"{""net_debt_ebitda"":3.37,""health"":""insufficient_data""}"
DXCM,2026-06-14,95.2,4.6,,15.9,1.72,,,,,,,0.004,"{""health"":""strong""}"
GEHC,2026-06-14,70.0,,,15.2,0.95,,,,,,,0.366,"{""net_debt_ebitda"":3.3,""health"":""mixed""}"
GH,2026-06-14,51.2,,,20.8,0.44,,,,,,,0.038,"{""health"":""weak""}"
GMED,2026-06-14,84.3,4.3,289.4,24.5,1.40,,,,,,,0.271,"{""health"":""strong""}"
INMD,2026-06-14,,,,,0.91,,,,,,,,"{""health"":null,""note"":""20-F data-limited""}"
ISRG,2026-06-14,,,,11.0,1.06,,,,,,,,"{""health"":""healthy""}"
MASI,2026-06-14,,,,,-1.44,,,,,,,,"{""net_debt_ebitda"":1.05,""health"":""stressed""}"
NTRA,2026-06-14,46.9,-20.7,,53.0,-1.03,,,,,,,0.059,"{""health"":""improving""}"
PHG,2026-06-14,,,,,,,,,,,,,"{""health"":null,""note"":""20-F data-gap, financials null""}"
PODD,2026-06-14,,,,,2.30,,,,,,,,"{""health"":""mixed""}"
SOLV,2026-06-14,45.0,,,10.5,0.24,,,,,,,0.399,"{""net_debt_ebitda"":1.56,""health"":""mixed""}"
STAA,2026-06-14,76.3,-15.8,355.3,67.0,,,,,,,,0.004,"{""health"":""weak""}"
SYK,2026-06-14,,,,,1.55,,,,,,,,"{""net_debt_ebitda"":2.03,""health"":""healthy""}"
TEM,2026-06-14,89.3,9.6,,34.7,0.89,,,,,,,0.207,"{""health"":""weak""}"
TMDX,2026-06-14,50.8,-30.6,73.5,5.0,1.01,,,,,,,0.011,"{""health"":""strong""}"
ZBH,2026-06-14,75.6,15.2,334.7,-10.1,2.41,,,,,,,0.431,"{""net_debt_ebitda"":3.0,""health"":""strong""}"
APP,2026-06-14,121,-24,,,1.1912,,,,,,,0.212,
SHOP,2026-06-14,14,,,,1.6515,,,,,,,0.032,
NOW,2026-06-14,72,-2,,,3.1144,,,,,,,0.137,
ORCL,2026-06-14,54,,,,1.6734,,,,,,,0.370,
TTAN,2026-06-14,21,,,,,,,,,,,0.493,
